country,cntryiso,raw_housing_dwellingswithoutbasicfacilities,raw_housing_housingexpenditure,raw_housing_roomsperperson,raw_income_householdnetadjusteddisposableincome,raw_income_householdnetfinancialwealth,raw_jobs_employmentrate,raw_jobs_jobsecurity,raw_jobs_longtermunemploymentrate,raw_jobs_personalearnings,raw_community_qualityofsupportnetwork,raw_education_educationalattainment,raw_education_studentskills,raw_education_yearsineducation,raw_environment_airpollution,raw_environment_waterquality,raw_civicengagement_consultationonrulemaking,raw_civicengagement_voterturnout,raw_health_lifeexpectancy,raw_health_selfreportedhealth,raw_lifesatisfaction_lifesatisfaction,raw_safety_assaultrate,raw_safety_homiciderate,raw_worklifebalance_employeesworkingverylonghours,raw_worklifebalance_timedevotedtoleisureandpersonalcare,est_housing_dwellingswithoutbasicfacilities,est_housing_housingexpenditure,est_housing_roomsperperson,est_income_householdnetadjusteddisposableincome,est_income_householdnetfinancialwealth,est_jobs_employmentrate,est_jobs_jobsecurity,est_jobs_longtermunemploymentrate,est_jobs_personalearnings,est_community_qualityofsupportnetwork,est_education_educationalattainment,est_education_studentskills,est_education_yearsineducation,est_environment_airpollution,est_environment_waterquality,est_civicengagement_consultationonrulemaking,est_civicengagement_voterturnout,est_health_lifeexpectancy,est_health_selfreportedhealth,est_lifesatisfaction_lifesatisfaction,est_safety_assaultrate,est_safety_homiciderate,est_worklifebalance_employeesworkingverylonghours,est_worklifebalance_timedevotedtoleisureandpersonalcare,ind_housing_dwellingswithoutbasicfacilities,ind_housing_housingexpenditure,ind_housing_roomsperperson,ind_income_householdnetadjusteddisposableincome,ind_income_householdnetfinancialwealth,ind_jobs_employmentrate,ind_jobs_jobsecurity,ind_jobs_longtermunemploymentrate,ind_jobs_personalearnings,ind_community_qualityofsupportnetwork,ind_education_educationalattainment,ind_education_studentskills,ind_education_yearsineducation,ind_environment_airpollution,ind_environment_waterquality,ind_civicengagement_consultationonrulemaking,ind_civicengagement_voterturnout,ind_health_lifeexpectancy,ind_health_selfreportedhealth,ind_lifesatisfaction_lifesatisfaction,ind_safety_assaultrate,ind_safety_homiciderate,ind_worklifebalance_employeesworkingverylonghours,ind_worklifebalance_timedevotedtoleisureandpersonalcare,dim_housing,dim_income,dim_jobs,dim_community,dim_education,dim_environment,dim_civicengagement,dim_health,dim_lifesatisfaction,dim_safety,dim_worklifebalance,bli,rank_housing,rank_income,rank_jobs,rank_community,rank_education,rank_environment,rank_civicengagement,rank_health,rank_lifesatisfaction,rank_safety,rank_worklifebalance,rank_bli,weight_int_housing,weight_int_income,weight_int_jobs,weight_int_community,weight_int_education,weight_int_environment,weight_int_civicengagement,weight_int_health,weight_int_lifesatisfaction,weight_int_safety,weight_int_worklifebalance,bestranks_int,distance_int,weight_cont_housing,weight_cont_income,weight_cont_jobs,weight_cont_community,weight_cont_education,weight_cont_environment,weight_cont_civicengagement,weight_cont_health,weight_cont_lifesatisfaction,weight_cont_safety,weight_cont_worklifebalance,bestranks_cont,distance_cont
Australia,36,1.2,19,2.3,28884,32178,73,12.4,0.96,43908,94,73,519,18.5,14,91,10.5,93,82,85,7.2,2.1,1,14.13,14.41,(E),,(E),,,,,,,,,,,,,,,,,,,,,,0.905511811023622,0.5,0.823529411764706,0.671766993087558,0.239121546107926,0.806451612903226,0.635071090047393,0.894209354120267,0.763446650959273,0.84,0.688524590163934,0.830985915492958,0.76595744680851,0.886363636363636,0.875,0.894736842105263,1,0.938461538461539,0.916666666666667,0.806451612903226,0.932203389830508,0.97008547008547,0.696106156188819,0.618937644341802,0.743013740929443,0.455444269597742,0.77479467700754,0.84,0.761822650821801,0.880681818181818,0.947368421052632,0.927564102564103,0.806451612903226,0.951144429957989,0.65752190026531,0.795073420298328,4,14,8,4,8,6,1,2,11,5,29,1,5,0,0,0,0,0,5,0,0,4,0,1,1.05506142857143,7,0,0,0,0,0,3,0,0,0,0,1,1.062799309477
Austria,40,1.2,21,1.7,28852,47458,72,9.5,1.07,43688,94,82,487,16.9,27,96,7.1,82,81.1,69,7.4,3,0.6,8.76,14.46,,,,,,,,,,,,,,,,,,,,,,,,,0.905511811023622,0.375,0.470588235294118,0.670614919354839,0.377958694131223,0.774193548387097,0.772511848341232,0.88195991091314,0.758510041512398,0.84,0.836065573770492,0.605633802816901,0.425531914893617,0.590909090909091,0.979166666666667,0.536842105263158,0.760869565217391,0.869230769230769,0.65,0.870967741935484,0.85593220338983,0.987179487179487,0.812921470524255,0.630484988452656,0.583700015439247,0.524286806743031,0.796793837288467,0.84,0.62241043049367,0.785037878787879,0.648855835240275,0.759615384615385,0.870967741935484,0.921555845284659,0.721703229488456,0.734084273210595,20,9,5,4,23,17,8,19,7,9,25,14,0,0,5,0,0,0,2,0,1,3,0,3,0.0760963645454545,0,1,2,2,0,0,2,0,1,2,0,2,0.00778917563279058
Belgium,56,1.4,20,2.2,26874,74007,62,7.4,3.45,44321,92,70,509,18.7,21,80,4.5,89,80.5,73,6.9,6.7,1.7,4.43,15.71,,,,,,,,,,,,,,,,,,,,,,,,,0.889763779527559,0.4375,0.764705882352941,0.599402361751152,0.619188238821701,0.451612903225806,0.872037914691943,0.616926503340757,0.772714013239089,0.76,0.639344262295082,0.76056338028169,0.808510638297872,0.727272727272727,0.645833333333333,0.263157894736842,0.91304347826087,0.823076923076923,0.716666666666667,0.709677419354839,0.542372881355932,0.94017094017094,0.907113334783554,0.919168591224019,0.697323220626833,0.609295300286427,0.678322833624399,0.76,0.736139426958215,0.68655303030303,0.588100686498856,0.769871794871795,0.709677419354839,0.741271910763436,0.913140963003787,0.717245144208329,6,4,16,14,15,25,15,18,17,30,4,16,0,3,0,0,2,0,1,0,0,0,5,1,0.100467272727273,0,3,0,0,1,0,1,0,0,0,5,1,0.102395726289487
Canada,124,0.2,22,2.6,28194,63852,72,11.3,1,42253,94,88,527,17,16,89,10.5,61,81,88,7.4,1.3,1.6,3.91,14.25,,,,,,,,,,,,,,,,,,,,,,,,,0.984251968503937,0.3125,1,0.646925403225806,0.526917869831088,0.774193548387097,0.687203791469194,0.889755011135857,0.726309884438461,0.84,0.934426229508197,0.887323943661972,0.446808510638298,0.840909090909091,0.833333333333333,0.894736842105263,0.304347826086957,0.861538461538462,0.966666666666667,0.870967741935484,1,0.944444444444444,0.918425059821623,0.581986143187067,0.765583989501312,0.586921636528447,0.769365558857652,0.84,0.756186227936155,0.837121212121212,0.59954233409611,0.914102564102564,0.870967741935484,0.972222222222222,0.750205601504345,0.787474462618682,2,5,9,4,10,11,14,4,7,2,20,3,3,1,0,2,0,0,0,0,2,4,0,1,0.343775835034778,0,1,0,0,0,0,0,0,1,7,1,1,0.4057205670765
Chile,152,9.4,18,1.3,11039,16972,61,10.5,2.94,15820,82,71,439,16.2,53,77,2,88,78.3,59,6.5,8.3,3.7,16.32,13.66,,,,,,,(E),(E),,,,,,,,,,,,,,,,(E),0.259842519685039,0.5625,0.235294117647059,0.0293058755760369,0.100956776942857,0.419354838709677,0.725118483412322,0.673719376391982,0.133176259396387,0.36,0.655737704918033,0.267605633802817,0.276595744680851,0,0.583333333333333,0,0.891304347826087,0.653846153846154,0.483333333333333,0.580645161290323,0.406779661016949,0.854700854700855,0.648466391124647,0.445727482678984,0.352545545777366,0.0651313262594469,0.487842239477592,0.36,0.399979694467233,0.291666666666667,0.445652173913043,0.568589743589744,0.580645161290323,0.630740257858902,0.547096936901815,0.429989976927467,34,33,28,32,33,36,24,25,22,34,32,34,0,0,0,0,0,0,0,0,5,1,0,21,0.050215003376446,0,0,0,0,0,0,0,0,8,2,0,21,0.0812282853392841
Czech Republic,203,0.7,25,1.4,16957,14749,66,6.7,2.8,19312,89,92,490,17.8,17,84,6.8,63,78,59,6.3,3,1.7,7.58,14.34,,,,,,,,,,,,,,,,,,,,,,,,(E),0.94488188976378,0.125,0.294117647058823,0.242367511520737,0.080758152593656,0.580645161290323,0.90521327014218,0.689309576837416,0.211533714798609,0.64,1,0.626760563380282,0.617021276595745,0.818181818181818,0.729166666666667,0.505263157894737,0.347826086956522,0.630769230769231,0.483333333333333,0.516129032258065,0.85593220338983,0.94017094017094,0.838590385033718,0.602771362586605,0.454666512274201,0.161562832057197,0.596675430767132,0.64,0.747927279992009,0.773674242424242,0.426544622425629,0.557051282051282,0.516129032258065,0.898051571780385,0.720680873810161,0.590269425440028,25,27,21,24,14,18,27,26,23,14,26,22,0,0,0,0,3,0,0,0,0,5,0,10,0.0433362525118097,0,0,0,0,4,0,0,0,0,6,0,10,0.0473294458556625
Denmark,208,0.6,24,1.9,24682,36184,73,12.9,1.85,45802,94,76,499,18.8,16,94,7,88,79.9,70,7.5,3.9,0.9,1.97,16.06,,,,,,,,,,,,,,,,,,,,,,,,,0.952755905511811,0.1875,0.588235294117647,0.520485311059908,0.275520866460107,0.806451612903226,0.611374407582938,0.795100222717149,0.8059463704701,0.84,0.737704918032787,0.690140845070423,0.829787234042553,0.840909090909091,0.9375,0.526315789473684,0.891304347826087,0.776923076923078,0.666666666666667,0.903225806451613,0.779661016949153,0.974358974358974,0.96062649554057,1,0.576163733209819,0.398003088760007,0.754718153418353,0.84,0.752544332381921,0.889204545454545,0.708810068649885,0.721794871794872,0.903225806451613,0.877009995654063,0.980313247770285,0.763798894867761,21,15,10,4,11,5,5,21,5,19,1,7,0,0,0,0,0,0,1,0,0,0,5,1,0.559335,0,0,0,0,0,1,1,0,0,0,8,1,0.603626524760108
Estonia,233,9.6,19,1.6,12800,8802,65,10.7,7.06,17323,86,89,514,17.4,9,75,3.3,64,76.3,51,5.4,5.5,5.2,4.1,14.2,,,,,,,,,,,,,,,,,,,,,,,,,0.244094488188976,0.5,0.411764705882353,0.0927059331797235,0.0267225165141699,0.548387096774194,0.71563981042654,0.214922048997773,0.166902277572086,0.52,0.950819672131147,0.795774647887324,0.531914893617021,1,0.541666666666667,0.136842105263158,0.369565217391304,0.5,0.35,0.225806451612903,0.644067796610169,0.790598290598291,0.914291929519252,0.570438799076212,0.385286398023776,0.0597142248469467,0.411462808442648,0.52,0.759503071211831,0.770833333333333,0.253203661327231,0.425,0.225806451612903,0.71733304360423,0.742365364297732,0.479137123336421,30,35,32,29,9,19,34,34,32,33,21,31,0,0,0,0,1,0,0,0,0,0,0,9,0.03317001,0,0,0,0,8,1,0,0,0,0,1,8,0.007731765256297
Finland,246,0.7,22,1.9,25739,22335,69,14.5,1.75,36468,92,83,543,19.6,15,92,9,69,80.6,69,7.4,2.4,2.2,3.89,14.89,,,,,,,,,,,,,,,,,,,,,,,,,0.94488188976378,0.3125,0.588235294117647,0.558539746543779,0.149686071762814,0.67741935483871,0.535545023696682,0.806236080178174,0.596499495119488,0.76,0.852459016393443,1,1,0.863636363636364,0.895833333333333,0.736842105263158,0.478260869565217,0.830769230769231,0.65,0.870967741935484,0.906779661016949,0.918803418803419,0.918860126169241,0.729792147806005,0.615205727960475,0.354112909153296,0.653924988458264,0.76,0.950819672131147,0.879734848484849,0.607551487414188,0.740384615384615,0.870967741935484,0.912791539910184,0.824326136987623,0.742710878892739,12,18,17,14,1,7,13,20,7,11,12,12,0,0,0,0,5,0,0,0,0,0,1,1,0.883106666666667,0,0,0,0,9,0,0,0,1,0,0,1,0.953646587070591
France,250,0.6,21,1.8,28310,46520,64,9.3,3.83,37505,93,71,497,16.4,12,81,3.5,80,82.2,67,6.6,5,1.1,8.96,15.33,,,,,,,,,,,,,,,,,,,,,,,,,0.952755905511811,0.375,0.529411764705882,0.651101670506912,0.369435837793144,0.516129032258065,0.781990521327014,0.574610244988864,0.619768876921351,0.8,0.655737704918033,0.676056338028169,0.319148936170212,0.931818181818182,0.666666666666667,0.157894736842105,0.717391304347826,0.953846153846154,0.616666666666667,0.612903225806452,0.686440677966102,0.965811965811966,0.808570807048075,0.831408775981525,0.619055890072564,0.510268754150028,0.623124668873823,0.8,0.550314326372138,0.799242424242424,0.437643020594966,0.78525641025641,0.612903225806452,0.826126321889034,0.8199897915148,0.671265893979331,11,11,18,10,27,14,26,15,21,25,14,18,1,4,0,1,0,0,0,1,0,0,1,8,0.0790150026072265,2,4,0,2,0,0,0,1,0,0,2,8,0.0937505005804003
Germany,276,0.9,21,1.8,28799,44938,73,8.3,2.84,39593,92,86,510,17.9,16,93,4.5,71,80.8,64,6.7,3.6,0.8,5.41,15.31,,,,,,,,,,,,,,,,,,,,,,,,,0.929133858267717,0.375,0.529411764705882,0.668706797235023,0.355061468148323,0.806451612903226,0.829383886255924,0.684855233853007,0.666621788398968,0.76,0.901639344262295,0.767605633802817,0.638297872340425,0.840909090909091,0.916666666666667,0.263157894736842,0.521739130434783,0.846153846153846,0.566666666666667,0.645161290322581,0.805084745762712,0.978632478632479,0.885795083750272,0.826789838337183,0.611181874324533,0.511884132691673,0.746828130352781,0.76,0.769180950135179,0.878787878787879,0.392448512585812,0.706410256410256,0.645161290322581,0.891858612197595,0.856292461043727,0.706366736259274,15,10,11,14,6,8,29,22,19,16,10,17,0,1,0,0,5,5,0,0,0,0,0,3,0.0761454564196685,0,1,0,0,5,4,0,0,0,0,0,3,0.1176487504804
Greece,300,0.9,27,1.2,20440,13428,56,4.7,8.75,28011,81,65,473,18.5,31,69,6.5,62,80.7,76,5.1,3.7,1.5,5.23,14.65,,,,,,,,,,,,,,,,,,,,,,,,(E),0.929133858267717,0,0.176470588235294,0.367763536866359,0.0687552813542074,0.258064516129032,1,0.0267260579064588,0.40673174015483,0.32,0.557377049180328,0.507042253521127,0.76595744680851,0.5,0.416666666666667,0.473684210526316,0.326086956521739,0.838461538461539,0.766666666666667,0.129032258064516,0.796610169491525,0.948717948717949,0.889710680878834,0.674364896073903,0.368534815501004,0.218259409110283,0.42288057854758,0.32,0.610125583169988,0.458333333333333,0.399885583524027,0.802564102564103,0.129032258064516,0.872664059104737,0.782037788476369,0.489483410126904,33,25,31,33,24,33,28,14,34,20,17,29,0,0,0,0,0,0,0,4,0,3,0,12,0.0358857186107285,0,0,0,0,0,0,0,6,0,4,0,12,0.0404944985373213
Hungary,348,4.7,20,1,13858,12390,56,7.8,5.36,19437,90,81,496,17.5,15,76,7.9,47,75,55,4.7,3.6,1.3,3.1,14.9,,,,,,,,,,,,,,,,,,,,,,,,(E),0.62992125984252,0.4375,0.0588235294117647,0.130796370967742,0.0593238049374415,0.258064516129032,0.853080568720379,0.404231625835189,0.214338606529788,0.68,0.819672131147541,0.669014084507042,0.553191489361702,0.863636363636364,0.5625,0.621052631578947,0,0.4,0.416666666666667,0,0.805084745762712,0.957264957264957,0.936045246900152,0.732101616628176,0.375414929751428,0.0950600879525917,0.432428829303597,0.68,0.680625901672095,0.713068181818182,0.310526315789474,0.408333333333333,0,0.881174851513835,0.834073431764164,0.491882351172609,32,31,30,21,20,21,33,35,36,18,11,29,0,0,0,0,0,0,0,0,0,4,5,8,0.0062788911177358,0,0,0,0,0,0,0,0,0,5,5,8,0.0265053217086134
